NATO-3,Personal oficial administrativo que acompaña a un representante del estado miembro de la OTAN y su familia inmediata,
NATO-4,"Oficial de la OTAN (no clase NATO-1), y familia inmediata",
NATO-5,"Expertos, que no sean funcionarios NATO-4, empleados en misiones en nombre de la OTAN y familia inmediata",
NATO-6,"Miembro de un componente civil que acompaña a una fuerza de conformidad con las disposiciones de los acuerdos de la OTAN, y familia inmediata",
NATO-7,"Operador, sirviente o empleado personal de NATO-1 a NATO-6 y familia inmediata",
O-1,"Persona con habilidades extraordinarias en ciencias, artes, educación, negocios o deportes",
O-2,Persona que acompaña y asiste en la actividad artística o deportiva de O-1 ,
O-3,Cónyuge o hijo de O-1 u O-2,
P-1,Atleta reconocido internacionalmente o miembro de grupo de entretenimiento reconocido internacionalmente,
P-2,Artista o actor en un programa de intercambio recíproco,
P-3,Artista o actor en un programa culturalmente único,
P-4,"Cónyuge o hijo de P-1, P-2 o P-3",
Q-1,Participante en un programa de intercambio cultural internacional,
Q-2,Participante en el programa del proceso de paz de Irlanda,
Q-3,Cónyuge de Q-2,
R-1,Extranjero en una ocupación religiosa,
R-2,Cónyuge o hijo de R1,
S-5,Informante en posesión de información importante y fiable sobre una empresa o grupo criminal,
S-6,"Informante en posesión de información importante sobre una organización, empresa u opreación terrorista",
S-7,"Cónyuge, hijo casado o no, padre o madre de S-5 o S-6",
TN,Profesional de NAFTA,
TD,Cónyuge o hijo de TN,
T-1,Víctima de una forma grave de trata de personas,
T-2,Cónyuge de T1,
T-3,Hijo de T1,
T-4,Padre de T1 menor de 21 años de edad,
T-5,Hermano soltero menor de 18 años de edad de T-1 menor de 21 años de edad,
T-6,Hijo menor/adulto de beneficiario derivado de T-1,
U-1,Víctima de actividad criminal,
U-2,Cónyuge de U-1,
U-3,Hijo de U-1,
U-4,Padre de U-1 menor de 21 años de edad,
U-5,Hermano soltero menor de 18 años de edad de U-1 menor de 21 años de edad,
V-1,Cónyuge de un residente permanente a la espera de respuesta a Formulario I-130 entregado antes de 2000,
V-2,Hijo menor de 21 años soltero de un residente permanente a la espera de respuesta a Formulario I-130 entregado antes de 2000,
V-3,Hijo menor soltero de V-1,
BCC,Tarjeta de cruce fronterizo,
,,
,,
Notas,,
"El conjunto de datos original correspondiente a 2006 no incluye cantidades para visas del tipo B-1,2/BCV.",,
Las visas CW-1 y CW-2 muestran datos a partir de 2012.,,
Las visas D-CREW dejan de contarse en 2013.,,
Las visas E-2C comienzan a contar a partir de 2011.,,
Las visas H1-A dejan de contarse en 2013.,,
Las visas H2-R dejan de contarse en 2007.,,
Las visas T-6 comienzan a contar a partir de 2014.,,
Las visas U-6 comienzan a contar a partir de 2010.,,
"Las visas V1, V2 y V3 dejan de contarse en 2013.",,
